Price,Close,High,Low,Open,Volume,Asset Class
Ticker,TER,TER,TER,TER,TER,Equity
Date,,,,,,Equity
2010-01-04,10.121652603149414,10.223238215145546,10.029301406261087,10.029301406261087,5172900,Equity
2010-01-05,10.158592224121094,10.361764315206859,9.99236043316672,10.075476328643907,6131900,Equity
2010-01-06,10.066243171691895,10.28788590028762,10.020068447263933,10.075478468868052,5843800,Equity
2010-01-07,10.121652603149414,10.14012231409131,9.936951090099045,9.973891392709119,4347200,Equity
2010-01-08,10.232475280761719,10.232475280761719,10.038538438334452,10.038538438334452,4084500,Equity
2010-01-11,10.638821601867676,10.657291319548033,10.407944406140269,10.537235072082588,7892800,Equity
2010-01-12,10.214008331298828,10.68499717834143,10.149362112507351,10.657292159274613,5991400,Equity
2010-01-13,10.075478553771973,10.417176625631514,9.909246726105982,10.343296009052501,6349700,Equity
2010-01-14,9.973891258239746,10.130887762397483,9.80765945837243,9.99236096893263,5130900,Equity
2010-01-15,9.53984546661377,10.038540164203566,9.447494237875198,9.97389483252252,5314700,Equity
2010-01-19,9.752250671386719,9.770720384401171,9.484433227229273,9.604488563639176,5055300,Equity
2010-01-20,9.60448932647705,9.678369945855607,9.484433980531735,9.613724624080984,6742500,Equity
2010-01-21,9.632196426391602,9.85383831230334,9.419788958514593,9.595256112072978,7504500,Equity
2010-01-22,9.013443946838379,9.558314149632043,8.976503638889305,9.558314149632043,6836600,Equity
2010-01-25,9.151968955993652,9.336670477061503,9.031912747117968,9.09655894003646,3992700,Equity
2010-01-26,9.345907211303711,9.465963438651837,9.041149434468647,9.124265351919384,6601200,Equity
2010-01-27,9.475197792053223,9.51213809826931,9.151969452117683,9.336670983198117,6750500,Equity
2010-01-28,8.764095306396484,9.955421216154189,8.551688777713371,9.955421216154189,15228400,Equity
2010-01-29,8.625570297241211,9.179674918033948,8.523983789551064,8.994973377769702,9828100,Equity
2010-02-01,8.902620315551758,8.94879502590077,8.625567649826953,8.644037357821329,7691500,Equity
